ID,i
613159,1697
613328,1652
613543,921
613802,3571
614326,166
614573,3936
615692,1156
616153,1159
616159,1467
616226,860
616655,524
616983,1696
617286,2109
617775,1208
617853,2094
618121,1443
619256,1170
619550,1154
619689,1204
620216,2001
620323,1535
620652,251
621569,159
621774,276
623618,1365
623880,670
623908,1423
624239,1673
624526,1298
625004,249
625047,3843
625595,2114
625774,650
626509,236
626552,3174
628500,3171
629377,652
629429,1550
629776,2003
629822,2119
629988,156
629991,1424
630060,522
630287,1189
630435,774
630484,3908
630503,3429
631014,1160
631272,158
631339,1207
631720,1164
632105,1632
632339,157
632365,1375
632378,2116
632647,437
633106,867
633300,1155
633412,2112
633483,1372
633493,235
633565,1206
634215,2009
634248,874
634754,2115
634914,3847
635245,243
635497,521
635561,3842
635671,3372
635784,317
635862,1181
636013,3935
636324,3175
637114,1178
637635,245
637663,2012
638494,2248
638527,140
639085,1180
639096,1536
639400,3850
639552,1167
640145,722
640360,1470
640443,3909
640492,1617
640623,751
641147,523
641491,3907
641847,653
642185,3921
642649,1176
642746,148
643015,1367
643124,1463
643133,976
643223,3926
643480,1232
643581,1422
644023,3914
644171,1544
644285,1631
644356,3937
644795,1653
644854,772
645941,3939
645944,1182
647006,1461
647123,1171
647413,1371
647881,2821
648114,3917
648670,3925
648762,1166
649286,2118
649850,764
650197,2110
650453,1175
650659,698
650697,1157
651523,3680
651665,1374
652010,805
652663,944
653385,1598
654576,2111
654643,1608
655472,2010
656205,135
656275,2582
656621,1165
656926,1615
657027,1633
657703,2874
658065,1209
658223,291
658933,1636
658951,1548
659778,3177
659967,326
660169,1700
661030,2921
661192,1229
661442,1231
661682,226
662158,2126
662355,1153
662467,281
662614,787
662715,2120
663103,1620
663168,1349
663565,1635
663735,1705
664049,1529
664330,1704
665247,1614
665286,1230
665457,1350
665479,1174
665603,3374
666129,293
666394,2129
666869,282
666872,1370
667434,1163
667577,1158
667844,1190
668711,145
668726,1290
669348,445
670364,1618
670500,3941
670749,2113
671381,1703
671978,3918
672158,1477
672976,686
673076,1376
