# ID,Lx_corr,log_Lx_int,log_Lx_obs,group
378385,0.714000,43.448300,43.301998,BLU
378500,0.748440,44.144844,44.019001,BLU
379362,0.295225,43.914845,43.384998,BLU
379763,0.647371,44.684845,44.495998,BLU
380734,1.000000,43.123001,43.123001,BLU
381287,1.000000,43.366001,43.366001,BLU
381301,1.000000,43.540001,43.540001,BLU
382018,0.418946,44.564842,44.187000,BLU
382726,1.000000,43.033001,43.033001,BLU
383151,0.216349,44.114845,43.450001,BLU
383384,0.721370,44.174843,44.033001,BLU
383801,0.346062,44.184845,43.723999,BLU
383817,0.364885,43.914845,43.477001,BLU
383885,0.399170,44.264843,43.866001,BLU
384414,0.711000,43.260130,43.112000,BLU
385450,0.005299,45.114845,42.839001,BLU
385456,0.621091,43.994843,43.787998,BLU
385941,0.065790,45.574844,44.393002,BLU
386137,1.000000,43.757000,43.757000,BLU
386478,1.000000,43.408001,43.408001,BLU
387336,1.000000,43.402000,43.402000,BLU
388379,1.119840,44.174843,44.223999,BLU
389447,0.641439,43.664845,43.472000,BLU
390586,1.000000,43.251999,43.251999,BLU
391670,0.551007,43.974842,43.716000,BLU
392925,0.004132,45.544846,43.160999,BLU
393236,0.552277,43.914845,43.657001,BLU
393604,0.262516,44.664845,44.084000,BLU
393844,0.368263,43.924843,43.491001,BLU
394239,0.764110,43.654842,43.537998,BLU
395477,0.805000,43.490204,43.396000,BLU
396633,0.476000,43.569395,43.247002,BLU
398447,0.755361,43.554844,43.432999,BLU
398571,0.790968,43.384842,43.283001,BLU
399796,0.781912,44.084843,43.978001,BLU
400613,1.000000,43.230000,43.230000,BLU
400634,1.000000,43.097000,43.097000,BLU
401419,1.000000,43.530998,43.530998,BLU
402040,0.567751,44.124844,43.879002,BLU
402948,0.571684,43.394844,43.152000,BLU
403058,0.155652,43.524845,42.716999,BLU
403162,0.549736,44.024845,43.764999,BLU
403300,0.023023,44.324844,42.687000,BLU
404105,0.791000,43.468824,43.367001,BLU
404674,0.188432,43.524845,42.799999,BLU
405071,0.128280,43.764843,42.873001,BLU
405233,0.623000,43.229510,43.023998,BLU
405548,0.484344,43.324844,43.009998,BLU
405698,0.401012,43.354843,42.958000,BLU
406106,0.280646,43.174843,42.623001,BLU
407780,0.871274,44.694843,44.634998,BLU
408538,0.379450,44.394844,43.973999,BLU
409604,0.493352,44.414845,44.108002,BLU
411306,0.646000,43.175768,42.986000,BLU
411643,0.703000,43.356044,43.202999,BLU
413217,0.419000,43.852784,43.474998,BLU
413764,1.000000,43.330002,43.330002,BLU
413854,0.730000,43.703678,43.567001,BLU
414685,0.670000,43.695925,43.521999,BLU
414773,0.714000,43.689301,43.542999,BLU
415112,0.792000,43.304274,43.202999,BLU
415138,0.415103,44.064842,43.682999,BLU
415386,1.009611,43.844845,43.848999,BLU
415424,1.104474,43.294846,43.338001,BLU
415920,0.349265,44.144844,43.688000,BLU
416000,0.358223,43.454846,43.008999,BLU
416902,0.583654,44.214844,43.980999,BLU
418204,0.654869,43.664845,43.480999,BLU
418230,0.550000,43.896638,43.637001,BLU
418599,0.554825,43.144844,42.889000,BLU
418904,0.883396,44.834843,44.780998,BLU
419128,0.615400,44.284844,44.074001,BLU
419166,1.000000,43.924999,43.924999,BLU
419932,1.000000,43.480999,43.480999,BLU
420196,0.687313,43.914845,43.751999,BLU
420643,0.293870,44.024845,43.493000,BLU
420847,0.515416,44.014843,43.727001,BLU
420912,0.074671,43.594845,42.467998,BLU
421107,0.629732,44.544846,44.344002,BLU
422500,0.638488,44.454846,44.259998,BLU
423348,0.758846,43.414845,43.294998,BLU
423573,0.493000,43.649152,43.341999,BLU
424880,0.760000,43.579185,43.459999,BLU
424992,0.281292,43.634842,43.084000,BLU
425170,0.186705,44.234844,43.506001,BLU
425194,0.595873,44.344845,44.119999,BLU
425225,0.750000,43.233940,43.109001,BLU
425530,0.657896,44.474842,44.292999,BLU
426055,0.724691,43.044846,42.904999,BLU
426212,0.590413,43.784844,43.556000,BLU
426494,1.000000,43.693001,43.693001,BLU
426654,0.422820,43.874844,43.500999,BLU
426798,0.242192,43.884842,43.269001,BLU
428515,0.565139,43.164845,42.917000,BLU
429502,0.579638,44.484844,44.248001,BLU
429677,1.000000,43.304001,43.304001,BLU
429896,1.000000,43.418999,43.418999,BLU
430921,0.704000,43.139427,42.987000,BLU
431659,1.000000,43.237000,43.237000,BLU
431959,1.000000,43.271999,43.271999,BLU
433259,0.573001,44.854843,44.612999,BLU
433721,0.565139,43.954846,43.707001,BLU
433827,0.321482,44.314842,43.821999,BLU
434455,1.000000,43.263000,43.263000,BLU
434477,0.816874,44.054844,43.966999,BLU
436998,0.161494,43.914845,43.123001,BLU
437780,0.382963,43.684845,43.268002,BLU
438119,0.158182,44.554844,43.754002,BLU
438138,0.723000,43.650860,43.509998,BLU
438623,0.587000,43.331360,43.099998,BLU
438652,0.162240,44.384842,43.595001,BLU
440129,1.000000,43.474998,43.474998,BLU
440565,0.644000,44.095113,43.903999,BLU
441227,1.000000,43.928001,43.928001,BLU
441487,0.657000,44.268433,44.085999,BLU
442022,0.641439,43.524845,43.332001,BLU
442197,0.535000,43.219648,42.948002,BLU
442374,0.449942,44.854843,44.507999,BLU
442499,0.580000,43.370571,43.133999,BLU
443133,0.470060,43.934845,43.606998,BLU
443852,0.503681,43.654842,43.356998,BLU
444034,0.435000,43.580513,43.219002,BLU
444480,0.197312,43.704846,43.000000,BLU
445280,0.668586,44.004845,43.830002,BLU
445312,0.527420,43.654842,43.376999,BLU
445347,0.583000,43.692332,43.458000,BLU
445448,0.620000,43.951608,43.743999,BLU
445878,0.725000,43.056662,42.917000,BLU
446143,0.659000,44.101113,43.919998,BLU
447092,0.538462,44.294846,44.026001,BLU
447600,0.597000,43.274025,43.049999,BLU
448318,0.548477,44.354843,44.094002,BLU
448411,0.853407,44.434845,44.366001,BLU
450105,0.122788,45.224842,44.313999,BLU
451554,1.000000,43.112000,43.112000,BLU
452058,0.385616,44.664845,44.250999,BLU
453309,0.451000,43.408823,43.063000,BLU
453781,0.574327,43.814842,43.574001,BLU
453789,0.518987,44.324844,44.040001,BLU
453882,0.529853,43.714844,43.438999,BLU
454647,0.449000,43.866755,43.519001,BLU
454808,0.470064,44.124844,43.797001,BLU
454812,0.387398,44.084843,43.673000,BLU
455625,0.531000,43.274905,43.000000,BLU
455845,0.188000,43.564842,42.839001,BLU
456825,1.037899,43.804844,43.820999,BLU
456984,0.788000,43.601475,43.498001,BLU
458021,0.672000,43.305630,43.132999,BLU
458826,0.520183,44.304844,44.021000,BLU
459183,0.702000,43.914664,43.761002,BLU
459421,0.942227,43.714844,43.688999,BLU
459501,0.709830,44.644844,44.495998,BLU
459617,1.445960,43.564842,43.724998,BLU
460385,0.075885,45.214844,44.095001,BLU
460918,0.857344,44.204846,44.138000,BLU
461168,0.774740,43.994843,43.883999,BLU
461943,0.385619,43.174843,42.761002,BLU
462320,0.120825,43.824844,42.907002,BLU
462601,1.000000,43.173000,43.173000,BLU
463633,0.448907,45.094845,44.747002,BLU
463657,0.869272,43.864845,43.804001,BLU
464056,0.676329,43.474842,43.305000,BLU
464786,1.000000,43.379002,43.379002,BLU
465153,0.738170,44.234844,44.103001,BLU
465158,1.233548,43.154842,43.245998,BLU
465265,0.675000,43.482696,43.312000,BLU
465475,0.535990,43.404842,43.133999,BLU
465515,0.613000,43.298538,43.085999,BLU
465681,0.486000,43.735365,43.422001,BLU
466293,0.190176,44.704846,43.984001,BLU
466461,0.248975,43.444843,42.841000,BLU
466580,1.033133,43.944843,43.959000,BLU
466941,0.918666,43.444843,43.408001,BLU
467289,1.000000,43.250000,43.250000,BLU
468246,0.737000,43.149531,43.016998,BLU
468467,0.041320,45.144844,43.761002,BLU
468608,0.570370,43.344845,43.101002,BLU
469052,0.690000,43.042151,42.881001,BLU
469310,0.629000,43.386351,43.185001,BLU
469444,0.605000,43.889246,43.671001,BLU
469879,0.181616,44.624844,43.883999,BLU
470092,0.910240,43.994843,43.953999,BLU
470509,0.242747,43.454846,42.840000,BLU
471165,0.336633,43.424843,42.952000,BLU
471549,1.000000,43.539001,43.539001,BLU
471968,1.000000,43.124001,43.124001,BLU
472266,0.290505,44.184845,43.647999,BLU
472279,0.589051,44.704846,44.474998,BLU
472392,0.895686,44.364845,44.317001,BLU
472876,0.641445,44.474842,44.282002,BLU
473242,0.284548,44.104843,43.558998,BLU
473519,0.790961,43.514843,43.412998,BLU
473612,0.033125,43.974842,42.494999,BLU
474687,0.276795,44.214844,43.657001,BLU
474750,0.171853,43.834843,43.070000,BLU
475006,0.354125,44.334843,43.883999,BLU
475248,0.157092,43.184845,42.381001,BLU
475291,0.439000,43.471534,43.113998,BLU
475665,0.647377,44.004845,43.816002,BLU
475972,0.883404,43.634842,43.581001,BLU
477130,0.729718,44.444843,44.307999,BLU
477386,0.582317,43.974842,43.740002,BLU
478024,1.000000,43.764000,43.764000,BLU
