ID,Group,z,Kelly_Lx,Auge_Lx
543250,RED,0.976200,-99.000000,nan
543297,RED,0.353000,42.321000,41.894844
543535,GRN,0.961000,44.253680,44.284844
544316,RED,2.203600,-99.000000,nan
544338,BLU,1.951000,43.533000,43.533001
544403,BLU,4.130000,44.666000,44.666000
544769,GRN,2.392000,43.703000,43.702999
545088,BLU,1.096000,43.745472,43.944843
545954,BLU,1.972000,43.722000,44.154842
546422,RED,0.944100,-99.000000,nan
546656,BLU,1.253000,43.655693,43.894844
546685,BLU,2.136000,44.313000,44.674843
546832,BLU,1.480000,43.261000,43.261002
546921,BLU,1.582000,43.708874,43.708875
547078,BLU,1.058000,43.047000,43.434845
547146,BLU,1.368000,43.238000,43.505605
547199,RED,1.425300,-99.000000,nan
547306,BLU,0.838000,43.546000,43.754845
547352,GRN,1.297000,44.235573,44.364845
547543,BLU,1.939000,43.882000,44.164845
547611,BLU,0.955000,43.471000,43.624844
548180,BLU,1.998000,44.261906,44.374844
548204,RED,2.523200,-99.000000,nan
548361,BLU,1.021000,43.026000,43.378618
548369,BLU,1.222000,43.290000,43.290001
549255,BLU,1.449000,43.073000,43.073002
549460,BLU,1.614000,44.093000,44.204846
549557,GRN,2.159000,44.281630,44.644844
549632,BLU,0.958000,43.049625,43.049627
549676,GRN,0.838000,43.269000,43.444843
550062,BLU,0.895000,43.120373,43.364845
550246,BLU,1.503000,43.521350,43.521350
551328,BLU,0.339000,43.034000,42.944843
551649,BLU,1.799000,43.791275,43.791274
551692,BLU,3.414000,44.193863,44.193863
551738,BLU,2.838000,44.067000,44.314842
551941,BLU,5.045000,44.540430,44.540428
551947,GRN,1.478000,43.706670,44.524845
552254,BLU,1.654000,43.320000,43.533958
552411,BLU,1.787000,44.441000,44.574844
552419,BLU,0.837000,43.371895,43.504845
553873,BLU,1.974000,44.680412,44.924843
553928,GRN,1.826000,44.321000,44.574844
554010,RED,2.008200,-99.000000,nan
554257,BLU,1.866000,43.852000,44.204846
554361,BLU,0.354000,43.356000,43.414845
554731,BLU,3.328000,44.653000,44.924843
555396,BLU,2.266000,44.384000,44.444843
555407,BLU,0.968000,43.672462,43.784844
555440,BLU,0.825000,43.652676,43.704846
555791,RED,3.842900,-99.000000,nan
556119,BLU,1.323000,44.085000,44.194843
556169,GRN,1.298000,43.816000,44.074844
556195,RED,2.478300,-99.000000,nan
556928,GRN,1.530000,43.068000,43.834843
556971,BLU,0.667000,43.161000,43.234844
557190,BLU,2.368000,43.858383,43.858384
557754,BLU,1.623000,43.324000,43.324001
558207,RED,1.772100,-99.000000,nan
558222,BLU,0.959000,43.841637,44.074844
558556,BLU,0.952000,43.805534,43.954846
558647,GRN,3.328000,43.959000,44.834843
558793,BLU,2.675000,44.215042,44.215041
558958,BLU,1.256000,43.587000,43.904842
559688,GRN,2.844000,43.884000,43.883999
560030,BLU,0.876000,43.231000,43.374844
560331,BLU,0.958000,43.658000,43.754845
560406,RED,2.131200,-99.000000,nan
560439,RED,3.500800,-99.000000,nan
560530,BLU,1.052000,43.295000,43.514843
561143,BLU,1.470000,45.646275,45.704846
561709,BLU,1.845000,44.188194,44.774845
561716,BLU,1.110000,43.018000,43.018002
561903,BLU,0.822000,43.223620,43.454846
561934,BLU,1.437000,43.226000,43.226002
562802,BLU,1.919000,43.727000,44.034844
564150,BLU,0.951000,43.072052,43.072054
564498,BLU,1.259000,43.571217,44.004845
564556,BLU,1.589000,43.294000,43.293999
564716,BLU,1.814000,43.716000,44.044846
564821,BLU,0.946000,43.128050,43.128053
565276,BLU,1.420000,43.663000,43.914845
