ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN
      694069,BLU,  1.52600, 44.07486, 43.66128, 43.36800,      NaN, 43.82288, 22.90022,  0.75414,  0.36198, 43.66128, 22.40931,  1.47008,  0.40177
      694934,BLU,  2.97500, 44.52045, 44.08900, 44.08900,      NaN, 44.19718, 21.49762,  4.59719,  0.29600, 44.08900, 21.00000,  5.30358,  0.00000
      696146,BLU,  1.46200, 44.46374, 43.78484, 43.39000,      NaN, 44.14954, 23.44574,  0.35031,  0.25366, 43.78484, 22.75107,  0.92328,  0.38556
      697594,BLU,  0.70000, 43.85833, 43.48484, 43.21800,      NaN, 43.64099, 22.82100,  0.85093,  0.37888, 43.48484, 22.30244,  1.68443,  0.40405
      696891,BLU,  1.08500, 43.35866, 43.33484, 43.23400,      NaN, 43.22127, 21.00000,  4.52568,  0.00000, 43.33484, 21.46201,  4.86102,  0.28875
      697034,BLU,  1.53800, 42.83352, 43.14000, 43.14000,      NaN, 42.78015, 21.00000,  0.00000,  0.00000, 43.14000, 21.00000,  5.27820,  0.00000
      697623,BLU,  1.26600, 44.24858, 43.26390, 42.96200,      NaN, 43.96880, 23.71739,  0.23097,  0.19105, 43.26390, 22.44415,  1.41167,  0.40086
      696590,BLU,  2.05100, 44.25054, 43.66000, 43.66000,      NaN, 43.97045, 22.47871,  1.38722,  0.39855, 43.66000, 21.00000,  5.60603,  0.00637
      697703,BLU,  2.97500, 44.98745, 43.71300, 43.71300,      NaN, 44.50498, 23.49267,  0.33842,  0.24617, 43.71300, 21.00000,  5.38568,  0.00000
      698328,BLU,  2.62000, 44.55092, 44.36485, 44.16000,      NaN, 44.22277, 21.27710,  5.22529,  0.22553, 44.36485, 22.01125,  2.61803,  0.39037
      698425,BLU,  0.88900, 43.79920, 43.50484, 43.37100,      NaN, 43.59132, 22.08664,  2.27718,  0.39914, 43.50484, 21.63160,  4.15911,  0.33237
      699272,BLU,  0.60200, 43.27227, 43.04200, 43.04200,      NaN, 43.14870, 21.49048,  4.54671,  0.30603, 43.04200, 21.00000,  5.56557,  0.00000
      699926,BLU,  1.59400, 43.99820, 45.00484, 43.80400,      NaN, 43.75849, 21.00000,  3.21398,  0.00000, 45.00484, 23.87440,  0.20899,  0.15729
      699815,BLU,  0.78600, 43.35514, 43.49484, 43.46000,      NaN, 43.21832, 21.00000,  0.00000,  0.00000, 43.49484, 21.15232,  5.70595,  0.13685
      699371,BLU,  1.69200, 43.98365, 44.57484, 44.39500,      NaN, 43.74626, 21.00000,  0.00000,  0.00000, 44.57484, 21.87677,  3.11575,  0.37626
      700043,BLU,  1.02000, 43.93437, 43.96484, 43.57700,      NaN, 43.70487, 21.60038,  4.40223,  0.32096, 43.96484, 22.72913,  0.97112,  0.38933
      700757,BLU,  1.19300, 43.89077, 43.77485, 43.45200,      NaN, 43.66824, 22.06675,  2.40171,  0.39641, 43.77485, 22.52265,  1.25078,  0.39993
      701381,BLU,  0.72800, 44.07997, 43.94484, 44.00500,      NaN, 43.82717, 21.00000,  0.30936,  0.00000, 43.94484, 21.00000,  2.50442,  0.00000
      702876,BLU,  1.63000, 44.30868, 43.60816, 43.32500,      NaN, 44.01929, 23.35132,  0.39939,  0.26836, 43.60816, 22.36840,  1.64956,  0.40102
      699062,BLU,  1.19800, 43.45790, 43.54143, 43.38900,      NaN, 43.30463, 21.00000,  1.67950,  0.00000, 43.54143, 21.72871,  3.81244,  0.35129
      703280,BLU,  2.96200, 45.01675, 44.27522, 44.10000,      NaN, 44.51670, 22.80537,  0.86024,  0.37926, 44.27522, 21.85168,  3.14914,  0.37418
      703733,BLU,  1.30900, 43.93363, 43.52485, 43.24200,      NaN, 43.70425, 22.91852,  0.71825,  0.35849, 43.52485, 22.36712,  1.62645,  0.40209
      703515,BLU,  3.44700, 45.17298, 43.88358, 43.77900,      NaN, 44.57919, 23.50326,  0.31470,  0.23924, 43.88358, 21.48015,  4.68902,  0.29344
      704900,BLU,  2.03200, 44.24996, 44.04485, 43.78400,      NaN, 43.96996, 21.90999,  3.03693,  0.37951, 44.04485, 22.27819,  1.83400,  0.40322
      704055,BLU,  1.08200, 43.65788, 43.18381, 43.03200,      NaN, 43.47262, 22.86477,  0.79024,  0.37157, 43.18381, 21.72549,  3.56035,  0.35318
      704286,BLU,  1.59000, 44.00553, 44.21484, 44.13800,      NaN, 43.76464, 21.00000,  0.00000,  0.00000, 44.21484, 21.34546,  5.16810,  0.23061
      703326,BLU,  1.03500, 44.25375, 43.62484, 43.39200,      NaN, 43.97315, 23.16658,  0.54291,  0.31447, 43.62484, 22.14760,  2.10776,  0.40313
      704811,BLU,  1.65000, 44.39856, 44.68485, 44.52000,      NaN, 44.09479, 21.00000,  0.00000,  0.00000, 44.68485, 21.79531,  3.31258,  0.36775
      705406,BLU,  2.84600, 45.29231, 44.05176, 43.86800,      NaN, 44.62692, 23.44484,  0.34498,  0.25567, 44.05176, 21.89803,  3.15989,  0.37662
      704782,BLU,  1.67300, 44.21016, 43.96484, 43.68400,      NaN, 43.93653, 22.24347,  1.96345,  0.40044, 43.96484, 22.35904,  1.64638,  0.40183
      705530,BLU,  0.87900, 43.51504, 43.75484, 42.99200,      NaN, 43.35263, 22.64267,  1.04745,  0.39398, 43.75484, 23.45052,  0.32547,  0.25700
      705464,BLU,  2.54800, 44.03058, 45.70485, 44.11500,      NaN, 43.78569, 21.00000,  0.00000,  0.00000, 45.70485, 24.16222,  0.26684,  0.14197
      706363,BLU,  3.74800, 44.61852, 44.73484, 44.43000,      NaN, 44.27955, 21.00000,  0.56190,  0.00000, 44.73484, 22.45605,  1.35163,  0.40146
      706740,BLU,  2.38600, 45.00783, 43.78628, 43.58700,      NaN, 44.51313, 23.63378,  0.26944,  0.20473, 43.78628, 21.98234,  2.50232,  0.39204
      707186,BLU,  0.89100, 44.00914, 43.56484, 43.42500,      NaN, 43.76768, 22.58565,  1.15667,  0.39865, 43.56484, 21.66294,  3.91950,  0.34312
      707614,BLU,  1.53100, 43.90077, 43.83822, 43.51400,      NaN, 43.67665, 21.78338,  3.39683,  0.36582, 43.83822, 22.52702,  1.31421,  0.40046
      708170,BLU,  1.25500, 44.23948, 43.79485, 43.45500,      NaN, 43.96116, 23.02149,  0.65054,  0.34219, 43.79485, 22.57665,  1.19651,  0.39823
