ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN,LOG_NH_COSMOS
970232,GRN,1.434,45.18961,45.06484,44.913,nan,44.58584,21.0,0.0,0.0,45.06484,21.72566,3.69952,0.35437,22.027757206800413
970405,BLU,1.378,44.47953,43.41467,43.134,nan,44.1628,23.74019,0.22733,0.18043,43.41467,22.35832,1.563,0.40455,22.933487262714678
970584,GRN,1.402,45.38909,45.16484,45.054,nan,44.66563,21.0,0.0,0.0,45.16484,21.51139,4.58103,0.30428,21.66275855125441
970695,BLU,2.13,44.41085,44.55484,44.425,nan,44.10512,21.0,0.0,0.0,44.55484,21.61069,4.02749,0.33328,22.20983660893839
970723,RED,2.0282,44.94362,nan,nan,43.16062,44.48744,23.97079,0.20341,0.14317,44.48744,23.97079,0.21206,0.14312,nan
970795,BLU,0.346,42.93665,43.12484,43.147,nan,42.86679,21.0,0.0,0.0,43.12484,21.0,4.34899,0.0,21.741545518137514
971058,RED,1.4467,44.44003,nan,nan,42.85246,44.12963,23.9328,0.20518,0.14599,44.12963,23.9328,0.20633,0.14667,nan
971246,GRN,2.549,45.07366,44.49484,44.112,nan,44.53946,22.8321,0.81473,0.37486,44.49484,22.71325,0.95808,0.38812,22.607455868376736
971360,BLU,0.768,44.17977,43.48484,43.315,nan,43.911,23.19531,0.49101,0.30439,43.48484,21.82247,3.22928,0.3704,23.658964826168855
971458,BLU,0.576,43.09516,43.08484,42.719,nan,42.99994,22.35939,1.64293,0.4007,43.08484,22.65923,1.0855,0.39398,22.807535008687065
972387,GRN,0.212,44.16736,43.28484,42.706,nan,43.90058,23.8696,0.21953,0.16086,43.28484,23.16211,0.53341,0.31607,23.320561686269368
973211,BLU,2.409,44.30098,44.33804,44.087,nan,44.01282,21.0,1.77755,0.0,44.33804,22.23619,1.84813,0.40365,23.385248697903737
973644,BLU,0.297,43.70507,43.01414,42.72,nan,43.51225,23.49307,0.33106,0.2462,43.01414,22.41276,1.48715,0.40167,22.663701167773635
973983,BLU,2.898,45.06494,44.51484,44.279,nan,44.53597,22.26254,1.79654,0.4025,44.51484,22.1622,2.19841,0.40289,22.612783818464163
974185,BLU,1.599,44.42234,43.70491,43.597,nan,44.11477,23.04395,0.59817,0.3418,43.70491,21.49631,4.38558,0.29902,22.15533684438074
974555,GRN,2.377,45.63137,44.98484,44.955,nan,44.76255,21.0,0.19473,0.0,44.98484,21.13046,5.54652,0.11375,21.977723811833133
974850,BLU,0.704,43.81978,43.85484,43.332,nan,43.60862,22.34194,1.65954,0.40344,43.85484,23.05377,0.60461,0.33814,22.789580691101097
975133,GRN,0.854,44.34892,43.90484,43.046,nan,44.05309,23.71768,0.23476,0.18832,43.90484,23.56405,0.28923,0.22088,23.092018452258355
975456,BLU,1.468,43.89919,44.26484,44.043,nan,43.67532,21.0,0.0,0.0,44.26484,22.09403,2.33832,0.39923,nan
